birthPlaceCountry,countryofResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,,,1,,,,,,,,US,,,2,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,3,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,4,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,5,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,9,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,10,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,12,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,14,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,16,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,17,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,20,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,21,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,24,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,25,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,26,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,27,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,30,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,31,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,33,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,35,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,37,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,39,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,40,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,45,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,46,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,49,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,50,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,54,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,56,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,59,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,61,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,63,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,64,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,68,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,69,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,70,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,71,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,76,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,77,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,78,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,81,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,84,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,86,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,87,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,89,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,90,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,92,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,93,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,96,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,98,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,100,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,101,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,102,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,103,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,107,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,108,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,115,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,119,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,126,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,127,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,128,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,129,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,131,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,133,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,134,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,136,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,137,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,138,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,140,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,141,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,142,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,145,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,147,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,152,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,153,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,154,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,156,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,157,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,158,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,159,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,160,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,161,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,162,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,163,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,164,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,165,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,166,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,169,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,171,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,172,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,174,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,177,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,179,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,180,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,182,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,184,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,190,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,192,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,194,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,196,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,197,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,199,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,204,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,206,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,207,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,209,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,210,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,212,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,215,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,216,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,217,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,218,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,219,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,222,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,224,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,225,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,226,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,228,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,230,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,233,Individual,,,,,,,,,,,,,,
